PARAM,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARK_CAP_MULT,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,TAT,NETWORKS,WEATHER_SCEN,WEATHER_CUTOFF,FIXED_DIR,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,PP_ALGO,TPR,KNN,PRED_TYPE,SEEDS,TIME_LIMIT,OPT_GAP
137,120,4,3.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
138,120,8,3.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
139,120,2,5.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
140,120,4,5.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
141,120,8,5.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
142,120,2,10.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
143,120,4,10.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
144,120,8,10.0,3,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
145,120,2,3.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
146,120,4,3.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
147,120,8,3.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
148,120,2,5.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
149,120,4,5.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
150,120,8,5.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
151,120,2,10.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
152,120,4,10.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
153,120,8,10.0,10,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
154,120,2,3.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
155,120,4,3.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
156,120,8,3.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
157,120,2,5.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
158,120,4,5.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
159,120,8,5.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
160,120,2,10.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
161,120,4,10.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
162,120,8,10.0,20,2.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
163,120,2,3.0,3,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
164,120,2,5.0,3,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
165,120,2,10.0,3,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
166,120,2,3.0,10,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
167,120,2,5.0,10,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
168,120,2,10.0,10,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
169,120,2,3.0,20,1.0,100.0,90,1,5,Direct_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
